,CVR,Imps,conversions,banner_width,banner_height,rewarded,campaign_id,inventory_source,app_bundle,ad_position,geo_country,platform_browser,platform_os,platform_carrier,platform_device_make,video_player_size,content_language,ad_size,score,cell_maturity_pct,inv_maturity_pct,inv_cvr,geo_cvr,inv_combo_cvr,value
0,0.00398406374501992,251,1,320.0,480.0,,5,MOPUB,uk.co.aifactory.ginrummyfree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,AT&T,ZTE,,,320x480,0.000400401826482,0.2,1.0,0.0001,0.00018398334040961565,0.0001,10.0
1,0.000449034575662326,4454,2,,,,5,GOOGLE_ADX,com.freegame.solitaire.basic2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Verizon,Samsung,,en,-1x-1,3.67229830545e-07,0.4,1.0,7.687534662544684e-05,0.00018398334040961565,7.687534662544684e-05,1.9896119736198288
2,0.0,1,0,320.0,480.0,,5,MOPUB,com.guardian.security.pri,ABOVE_THE_FOLD,USA,Android Browser,Android,,Umidgi,M,,320x480,0.00038547971053,1.858045336306206e-05,0.2,0.0001,0.00018398334040961565,0.00016718667232769254,2.8724270894298565
3,0.0,8,0,320.0,480.0,,5,MOPUB,com.cardgame.pyramid.fishdom,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,U.S. Cellular,Kyocera,M,,320x480,1.80216738954e-06,0.00014864362690449647,1.0,0.0001,0.00018398334040961565,0.0001,0.45983625942553247
4,0.0,3,0,,,,5,GOOGLE_ADX,com.lyoomatch.jewelscrush.princessadventure,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,Kyocera,,en,-1x-1,4.62007989199e-07,5.574136008918618e-05,0.007803790412486066,0.0,0.00018398334040961565,0.00018254757298166998,0.8239541163433459
5,0.0,9,0,,,,5,GOOGLE_ADX,com.karmangames.spades,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,Huawei,,en,-1x-1,0.000162388765602,0.00016722408026755852,1.0,0.0001,0.00018398334040961565,0.0001,1.3429188222109985
6,0.0,11,0,320.0,480.0,,5,APP_LOVIN,uk.co.aifactory.spadesfree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Verizon,Alcatel,M,,320x480,1.49880691191e-10,0.00020438498699368264,0.4495726495726496,0.0001,0.00018398334040961565,0.000146226727541703,0.6578716653892646
7,0.0003599712023038157,2778,1,320.0,480.0,,5,MOPUB,com.classic.solitaire,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Sprint,Samsung,M,,320x480,9.67974992818e-05,0.2,1.0,9.249781088514239e-05,0.00018398334040961565,9.249781088514239e-05,1.4792734894737296
8,0.0,1,0,320.0,480.0,,5,APP_LOVIN,com.fingerstudios.solitaire.classic,ABOVE_THE_FOLD,USA,Android Browser,Android,AT&T,HTC,M,,320x480,1.68145231783e-06,1.858045336306206e-05,0.05986622073578595,0.0,0.00018398334040961565,0.00017296895314094634,0.7875920514637562
9,0.0,15,0,320.0,480.0,,5,MOPUB,uk.co.aifactory.heartsfree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,AT&T,Yulong,,,320x480,0.000447604601504,0.0002787068004459309,1.0,0.0001,0.00018398334040961565,0.0001,2.9110622026400264
10,0.0007864726700747149,2543,2,320.0,480.0,,5,MOPUB,uk.co.aifactory.ginrummyfree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,Motorola,,,320x480,0.000884016801137,0.4,1.0,0.0001,0.00018398334040961565,0.0001,6.489949484278359
11,0.0,3,0,,,,5,GOOGLE_ADX,com.freegame.solitaire.basic2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Verizon,Samsung,,,-1x-1,3.7113579765e-07,5.574136008918618e-05,1.0,7.687534662544684e-05,0.00018398334040961565,7.687534662544684e-05,0.3479587775816239
12,0.0,6,0,320.0,480.0,,5,MOPUB,com.dna.solitaire,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,AT&T,Motorola,M,,320x480,1.34902421678e-07,0.00011148272017837236,0.03058342623560015,0.0,0.00018398334040961565,0.00017835649948961884,0.8032467174874461
13,0.0,3,0,320.0,480.0,,5,MOPUB,com.guardian.security.pri,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,T-Mobile,TCL,M,,320x480,0.000343138643075,5.574136008918618e-05,0.2,0.0001,0.00018398334040961565,0.00016718667232769254,2.639460331251274
14,0.0,3,0,320.0,480.0,,5,MOPUB,uk.co.aifactory.euchrefree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,T-Mobile,TracFone,,,320x480,0.000834226200823,5.574136008918618e-05,1.0,0.0001,0.00018398334040961565,0.0001,5.037983729331176
15,0.0,3,0,,,,5,GOOGLE_ADX,com.cardgame.solitaire.full,ABOVE_THE_FOLD,USA,Android Browser,Android,Verizon,Samsung,,en,-1x-1,1.02985623585e-07,5.574136008918618e-05,0.22125603864734303,0.0,0.00018398334040961565,0.0001432759153334785,0.6452680792556335
16,0.0,96,0,480.0,320.0,,5,MOPUB,uk.co.aifactory.backgammonfree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,-1,,,480x320,0.000847129849717,0.0017837235228539577,1.0,0.0001,0.00018398334040961565,0.0001,5.100767084482813
17,0.0,30,0,320.0,480.0,,5,MOPUB,com.fiogonia.spades,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,AT&T,-1,M,,320x480,7.19216550351e-05,0.0005574136008918618,1.0,0.0001,0.00018398334040961565,0.0001,0.845089945349028
18,0.0,6,0,,,,5,GOOGLE_ADX,com.karmangames.spades,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Sprint,-1,,en,-1x-1,2.195018169e-05,0.00011148272017837236,1.0,0.0001,0.00018398334040961565,0.0001,0.5706580226050949
19,0.0,13,0,480.0,320.0,1.0,5,MOPUB,com.glu.deerhunt16,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,AT&T,Motorola,M,,480x320,8.54261361383e-06,0.00024154589371980676,1.0,0.0001,0.00018398334040961565,0.0001,0.49685328476300483
20,0.0,277,0,320.0,480.0,,5,APP_LOVIN,bubble.shoot.fruit.splash.game2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,AT&T,Motorola,M,,320x480,9.50918348508e-08,0.00514678558156819,1.0,0.0001,0.00018398334040961565,0.0001,0.44794716521447264
21,0.0,197,0,,,,5,GOOGLE_ADX,com.karmangames.spades,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,ZTE,,en,-1x-1,0.000257438543485,0.0036603493125232254,1.0,0.0001,0.00018398334040961565,0.0001,1.8593702395329268
22,0.0,71,0,480.0,320.0,,5,APP_LOVIN,com.freegame.solitaire.basic2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Verizon,Samsung,M,,480x320,4.90151592203e-07,0.0013192121887774062,1.0,7.806325074891931e-05,0.00018398334040961565,7.806325074891931e-05,0.3534623190980617
23,0.0,3,0,320.0,480.0,,5,APP_LOVIN,com.fiogonia.spades,ABOVE_THE_FOLD,USA,Android Browser,Android,,Samsung,M,,320x480,7.30727188056e-05,5.574136008918618e-05,1.0,0.0001,0.00018398334040961565,0.0001,0.8518517168870973
24,0.0,12,0,320.0,480.0,,5,MOPUB,uk.co.aifactory.spadesfree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,Nokia,,,320x480,0.00107794604264,0.0002229654403567447,1.0,0.0001,0.00018398334040961565,0.0001,6.377390028229431
25,0.0,6,0,480.0,320.0,,5,APP_LOVIN,com.freegame.solitaire.basic2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Sprint,LG,M,,480x320,1.57533668244e-05,0.00011148272017837236,1.0,7.806325074891931e-05,0.00018398334040961565,7.806325074891931e-05,0.4378758512457118
26,0.0,2,0,320.0,480.0,,5,MOPUB,com.classic.solitaire,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,Red,M,,320x480,0.000577491591685,3.716090672612412e-05,1.0,9.249781088514239e-05,0.00018398334040961565,9.249781088514239e-05,3.592319416182159
27,0.0,1,0,,,,5,GOOGLE_ADX,com.freegame.solitaire.basic2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,T-Mobile,Huawei,,zh,-1x-1,2.39926266659e-05,1.858045336306206e-05,1.0,7.687534662544684e-05,0.00018398334040961565,7.687534662544684e-05,0.4778891356135929
28,0.0,6,0,,,,5,GOOGLE_ADX,bubble.shoot.fruit.splash.game2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,,Samsung,,ms,-1x-1,7.63608404668e-05,0.00011148272017837236,1.0,8.218952905399852e-05,0.00018398334040961565,8.218952905399852e-05,0.7897491251779961
29,0.0,7,0,,,,5,GOOGLE_ADX,bubble.shoot.fruit.splash.game2,ABOVE_THE_FOLD,USA,Android Browser,Android,,Kyocera,,en,-1x-1,1.05406687823e-08,0.0001300631735414344,1.0,8.218952905399852e-05,0.00018398334040961565,8.218952905399852e-05,0.3698573984116286
30,0.0,1,0,480.0,320.0,,5,APP_LOVIN,com.freegame.solitaire.basic2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,T-Mobile,HTC,M,,480x320,0.000303722306853,1.858045336306206e-05,1.0,7.806325074891931e-05,0.00018398334040961565,7.806325074891931e-05,2.0217218473178984
31,0.0,142,0,320.0,480.0,,5,APP_LOVIN,uk.co.aifactory.solitairefree,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,Verizon,Samsung,M,,320x480,4.71469929764e-09,0.0026384243775548124,0.4536603493125233,8.1913499344692e-05,0.00018398334040961565,0.00013767830065782865,0.6177619526858984
32,0.0,8,0,480.0,320.0,1.0,5,MOPUB,com.glu.deerhunt2,ABOVE_THE_FOLD,USA,Chrome Mobile,Android,T-Mobile,LG,M,,480x320,8.33555823192e-05,0.00014864362690449647,0.004124860646599777,0.0,0.00018398334040961565,0.00018322443476913002,1.2827675321136838
